google.com,"Обмен пакетами с google.com [74.125.205.138] с 32 байтами данных:
Ответ от 74.125.205.138: число байт=32 время=99мс TTL=109
Ответ от 74.125.205.138: число байт=32 время=61мс TTL=109
Ответ от 74.125.205.138: число байт=32 время=68мс TTL=109
Ответ от 74.125.205.138: число байт=32 время=135мс TTL=109

Статистика Ping для 74.125.205.138:
    Пакетов: отправлено = 4, получено = 4, потеряно = 0
    (0% потерь)
Приблизительное время приема-передачи в мс:
    Минимальное = 61мсек, Максимальное = 135 мсек, Среднее = 90 мсек"
yandex.ru,"Обмен пакетами с yandex.ru [5.255.255.70] с 32 байтами данных:
Ответ от 5.255.255.70: число байт=32 время=121мс TTL=247
Ответ от 5.255.255.70: число байт=32 время=133мс TTL=247
Ответ от 5.255.255.70: число байт=32 время=156мс TTL=247
Ответ от 5.255.255.70: число байт=32 время=67мс TTL=247

Статистика Ping для 5.255.255.70:
    Пакетов: отправлено = 4, получено = 4, потеряно = 0
    (0% потерь)
Приблизительное время приема-передачи в мс:
    Минимальное = 67мсек, Максимальное = 156 мсек, Среднее = 119 мсек"
nsu.ru,"Обмен пакетами с nsu.ru [84.237.50.25] с 32 байтами данных:
Ответ от 84.237.50.25: число байт=32 время=33мс TTL=62
Ответ от 84.237.50.25: число байт=32 время=23мс TTL=62
Ответ от 84.237.50.25: число байт=32 время=2мс TTL=62
Ответ от 84.237.50.25: число байт=32 время=3мс TTL=62

Статистика Ping для 84.237.50.25:
    Пакетов: отправлено = 4, получено = 4, потеряно = 0
    (0% потерь)
Приблизительное время приема-передачи в мс:
    Минимальное = 2мсек, Максимальное = 33 мсек, Среднее = 15 мсек"
youtube.com,"Обмен пакетами с youtube.com [64.233.162.93] с 32 байтами данных:
Ответ от 64.233.162.93: число байт=32 время=63мс TTL=109
Ответ от 64.233.162.93: число байт=32 время=62мс TTL=109
Ответ от 64.233.162.93: число байт=32 время=68мс TTL=109
Ответ от 64.233.162.93: число байт=32 время=67мс TTL=109

Статистика Ping для 64.233.162.93:
    Пакетов: отправлено = 4, получено = 4, потеряно = 0
    (0% потерь)
Приблизительное время приема-передачи в мс:
    Минимальное = 62мсек, Максимальное = 68 мсек, Среднее = 65 мсек"
classroom.google.com,"Обмен пакетами с classroom.google.com [142.251.1.101] с 32 байтами данных:
Ответ от 142.251.1.101: число байт=32 время=69мс TTL=112
Ответ от 142.251.1.101: число байт=32 время=57мс TTL=112
Ответ от 142.251.1.101: число байт=32 время=56мс TTL=112
Ответ от 142.251.1.101: число байт=32 время=56мс TTL=112

Статистика Ping для 142.251.1.101:
    Пакетов: отправлено = 4, получено = 4, потеряно = 0
    (0% потерь)
Приблизительное время приема-передачи в мс:
    Минимальное = 56мсек, Максимальное = 69 мсек, Среднее = 59 мсек"
duolingo.ru,"Обмен пакетами с duolingo.ru [185.189.15.13] с 32 байтами данных:
Ответ от 185.189.15.13: число байт=32 время=57мс TTL=55
Ответ от 185.189.15.13: число байт=32 время=57мс TTL=55
Ответ от 185.189.15.13: число байт=32 время=75мс TTL=55
Ответ от 185.189.15.13: число байт=32 время=81мс TTL=55

Статистика Ping для 185.189.15.13:
    Пакетов: отправлено = 4, получено = 4, потеряно = 0
    (0% потерь)
Приблизительное время приема-передачи в мс:
    Минимальное = 57мсек, Максимальное = 81 мсек, Среднее = 67 мсек"
twitch.tv,"Обмен пакетами с twitch.tv [151.101.194.167] с 32 байтами данных:
Ответ от 151.101.194.167: число байт=32 время=73мс TTL=57
Ответ от 151.101.194.167: число байт=32 время=71мс TTL=57
Ответ от 151.101.194.167: число байт=32 время=71мс TTL=57
Ответ от 151.101.194.167: число байт=32 время=75мс TTL=57

Статистика Ping для 151.101.194.167:
    Пакетов: отправлено = 4, получено = 4, потеряно = 0
    (0% потерь)
Приблизительное время приема-передачи в мс:
    Минимальное = 71мсек, Максимальное = 75 мсек, Среднее = 72 мсек"
ensv.dict.cc,"Обмен пакетами с ensv.dict.cc [138.201.1.33] с 32 байтами данных:
Ответ от 138.201.1.33: число байт=32 время=102мс TTL=54
Ответ от 138.201.1.33: число байт=32 время=113мс TTL=54
Ответ от 138.201.1.33: число байт=32 время=87мс TTL=54
Ответ от 138.201.1.33: число байт=32 время=88мс TTL=54

Статистика Ping для 138.201.1.33:
    Пакетов: отправлено = 4, получено = 4, потеряно = 0
    (0% потерь)
Приблизительное время приема-передачи в мс:
    Минимальное = 87мсек, Максимальное = 113 мсек, Среднее = 97 мсек"
vcrdb.net,"Обмен пакетами с vcrdb.net [104.21.64.54] с 32 байтами данных:
Ответ от 104.21.64.54: число байт=32 время=122мс TTL=50
Ответ от 104.21.64.54: число байт=32 время=129мс TTL=50
Ответ от 104.21.64.54: число байт=32 время=124мс TTL=50
Ответ от 104.21.64.54: число байт=32 время=143мс TTL=50

Статистика Ping для 104.21.64.54:
    Пакетов: отправлено = 4, получено = 4, потеряно = 0
    (0% потерь)
Приблизительное время приема-передачи в мс:
    Минимальное = 122мсек, Максимальное = 143 мсек, Среднее = 129 мсек"
tracker.gg,"Обмен пакетами с tracker.gg [188.114.99.224] с 32 байтами данных:
Ответ от 188.114.99.224: число байт=32 время=88мс TTL=52
Ответ от 188.114.99.224: число байт=32 время=81мс TTL=52
Ответ от 188.114.99.224: число байт=32 время=193мс TTL=52
Ответ от 188.114.99.224: число байт=32 время=81мс TTL=52

Статистика Ping для 188.114.99.224:
    Пакетов: отправлено = 4, получено = 4, потеряно = 0
    (0% потерь)
Приблизительное время приема-передачи в мс:
    Минимальное = 81мсек, Максимальное = 193 мсек, Среднее = 110 мсек"
